domain_group,token,n,tf,idf,tf_idf
high,1001.23,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1001.42,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1001.44,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1001.51,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1002.01,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1002.017,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1002.20,9,4.171025001587307e-6,0.6931471805599453,2.891134219895283e-6
high,1002.32,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,1002.321,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1002.33,18,8.342050003174614e-6,0.6931471805599453,5.782268439790566e-6
high,1002.34,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1002.37,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1002.394,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1002.41,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1002.42,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,1002.43,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1002.45,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1002.451,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1002.455,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1002.55,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1002.88,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1002.92,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,1003.01,13,6.024813891181666e-6,0.6931471805599453,4.176082762070965e-6
high,1003.03,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,1003.41,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1003.42,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,1003.499,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1003.56,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1004.0961,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1004.43,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1004.44,15,6.951708335978845e-6,0.6931471805599453,4.818557033158805e-6
high,1004.4473,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,1004.615,3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,1004.92,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
